problem,total,successful,failed,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
0,44,43,1,18.945,0.000,77.831,18.945,0.000,77.831
1,35,29,6,63.922,0.000,100.000,63.922,0.000,100.000
10,35,34,1,52.290,0.000,100.000,60.621,0.000,126.367
101,35,34,1,0.000,0.000,0.000,0.000,0.000,0.000
104,35,35,0,4.308,0.000,75.550,4.308,0.000,75.550
106,35,33,2,25.121,0.000,99.107,25.121,0.000,99.107
107,35,35,0,36.248,0.000,71.667,36.248,0.000,71.667
108,35,31,4,0.000,0.000,0.000,0.000,0.000,0.000
109,35,35,0,70.753,0.000,100.000,70.753,0.000,100.000
11,35,33,2,0.000,0.000,0.000,0.000,0.000,0.000
110,35,35,0,9.127,0.000,100.000,9.127,0.000,100.000
111,35,34,1,64.411,0.000,100.000,64.514,0.000,101.367
112,35,35,0,63.873,0.653,100.000,67.204,0.653,171.556
113,35,29,6,0.000,0.000,0.000,0.000,0.000,0.000
117,35,34,1,13.513,0.000,85.143,13.513,0.000,85.143
119,35,35,0,20.430,0.000,100.000,20.430,0.000,100.000
120,35,34,1,46.296,0.000,100.000,46.394,0.000,101.830
121,35,34,1,92.151,0.000,99.993,92.151,0.000,99.993
122,35,35,0,7.360,0.000,59.200,7.360,0.000,59.200
123,35,35,0,35.556,0.000,88.890,35.556,0.000,88.890
124,35,32,3,6.511,0.000,80.650,6.511,0.000,80.650
125,35,27,8,0.000,0.000,0.000,0.000,0.000,0.000
127,35,33,2,26.143,0.000,100.000,74.985,0.000,461.425
13,35,33,2,27.781,0.000,99.777,27.781,0.000,99.777
132,35,34,1,15.477,0.000,100.000,15.477,0.000,100.000
133,35,34,1,13.235,0.000,97.077,13.235,0.000,97.077
134,35,35,0,15.482,0.000,98.493,15.777,0.000,104.000
135,35,33,2,0.049,0.000,1.620,0.049,0.000,1.620
137,35,35,0,19.758,0.000,59.390,19.758,0.000,59.390
138,35,26,9,0.000,0.000,0.000,0.000,0.000,0.000
14,35,35,0,26.924,0.000,72.977,26.924,0.000,72.977
140,35,34,1,5.098,0.000,25.000,5.098,0.000,25.000
141,35,34,1,9.027,0.000,64.243,9.027,0.000,64.243
142,35,27,8,0.000,0.000,0.000,0.000,0.000,0.000
143,35,34,1,23.275,0.000,79.000,23.275,0.000,79.000
144,35,35,0,25.481,0.000,78.087,25.481,0.000,78.087
145,35,34,1,3.529,0.000,20.000,3.529,0.000,20.000
147,35,35,0,16.000,0.000,88.107,16.000,0.000,88.107
148,35,34,1,0.980,0.000,13.147,0.980,0.000,13.147
149,35,33,2,9.152,0.000,72.810,9.152,0.000,72.810
15,35,34,1,0.980,0.000,33.333,0.980,0.000,33.333
150,35,28,7,25.840,0.000,71.607,25.840,0.000,71.607
151,35,33,2,1.318,0.000,33.780,1.318,0.000,33.780
152,35,33,2,15.612,0.000,92.880,15.612,0.000,92.880
153,35,35,0,5.230,0.000,69.060,5.230,0.000,69.060
154,35,31,4,0.225,0.000,6.990,0.225,0.000,6.990
155,35,35,0,18.461,0.000,72.590,18.461,0.000,72.590
156,35,34,1,0.000,0.000,0.000,0.000,0.000,0.000
157,35,33,2,0.000,0.000,0.000,0.000,0.000,0.000
158,35,34,1,11.573,0.000,82.477,11.573,0.000,82.477
159,35,32,3,0.771,0.000,9.737,0.771,0.000,9.737
16,35,34,1,6.011,0.000,50.610,6.011,0.000,50.610
160,35,35,0,33.119,0.000,56.963,33.119,0.000,56.963
161,35,34,1,10.923,0.000,80.270,10.923,0.000,80.270
162,35,35,0,9.068,0.000,33.280,9.068,0.000,33.280
163,35,35,0,0.000,0.000,0.000,0.000,0.000,0.000
164,35,35,0,0.000,0.000,0.000,0.000,0.000,0.000
165,35,29,6,38.166,0.000,74.963,38.166,0.000,74.963
166,35,35,0,4.282,0.000,59.807,4.282,0.000,59.807
167,35,34,1,6.294,0.000,34.837,6.294,0.000,34.837
168,35,34,1,11.398,0.000,90.070,11.398,0.000,90.070
169,35,35,0,0.413,0.000,10.653,0.413,0.000,10.653
17,35,35,0,80.663,0.000,95.410,80.663,0.000,95.410
170,35,35,0,24.350,0.000,99.017,24.350,0.000,99.017
171,35,34,1,0.000,0.000,0.000,0.000,0.000,0.000
174,35,34,1,81.689,0.000,96.051,81.689,0.000,96.051
175,35,35,0,82.253,0.000,99.321,82.253,0.000,99.321
176,35,35,0,97.059,66.667,100.000,97.059,66.667,100.000
177,35,33,2,85.704,0.000,99.991,85.704,0.000,99.991
178,35,34,1,86.995,33.333,96.389,86.995,33.333,96.389
179,35,28,7,82.262,33.333,100.000,82.262,33.333,100.000
180,35,35,0,64.752,0.000,100.000,64.752,0.000,100.000
181,35,35,0,48.507,0.000,100.000,48.507,0.000,100.000
182,35,35,0,83.977,0.000,100.000,83.977,0.000,100.000
183,35,35,0,70.159,0.000,100.000,70.159,0.000,100.000
184,35,35,0,75.102,33.333,100.000,75.102,33.333,100.000
185,35,35,0,78.726,0.000,100.000,78.726,0.000,100.000
186,35,35,0,80.608,59.583,100.000,81.084,59.583,102.380
187,35,35,0,78.831,67.030,100.000,79.171,67.030,102.380
188,35,35,0,33.293,0.000,100.000,33.293,0.000,100.000
189,35,35,0,24.673,0.000,86.913,24.673,0.000,86.913
192,35,34,1,87.182,0.000,99.753,87.182,0.000,99.753
193,35,35,0,87.115,33.333,99.877,87.115,33.333,99.877
2,35,34,1,12.050,0.000,100.000,12.247,0.000,106.730
203,35,33,2,29.678,0.000,96.513,29.678,0.000,96.513
205,35,29,6,0.000,0.000,0.000,0.000,0.000,0.000
207,35,35,0,0.000,0.000,0.000,0.000,0.000,0.000
209,35,33,2,6.548,0.000,100.000,9.143,0.000,185.633
210,35,33,2,22.149,0.000,93.477,22.149,0.000,93.477
211,35,34,1,29.906,0.000,68.412,29.906,0.000,68.412
212,35,26,9,2.617,0.000,43.037,2.617,0.000,43.037
213,35,33,2,0.000,0.000,0.000,0.000,0.000,0.000
214,35,35,0,26.902,0.000,65.060,26.902,0.000,65.060
217,35,31,4,7.297,0.000,39.643,7.566,0.000,41.667
22,35,26,9,0.000,0.000,0.000,0.000,0.000,0.000
220,35,30,5,28.750,0.000,100.000,28.750,0.000,100.000
222,35,35,0,17.477,0.000,100.000,18.240,0.000,116.860
225,35,35,0,0.000,0.000,0.000,0.000,0.000,0.000
226,35,25,10,74.810,40.183,100.000,74.810,40.183,100.000
227,35,35,0,1.265,0.000,2.457,1.265,0.000,2.457
228,35,35,0,19.048,0.000,100.000,19.048,0.000,100.000
229,35,34,1,0.298,0.000,0.587,0.298,0.000,0.587
23,35,26,9,73.077,0.000,100.000,73.077,0.000,100.000
231,35,34,1,21.885,0.000,100.000,27.565,0.000,160.710
233,35,32,3,6.711,0.000,24.654,6.711,0.000,24.654
239,34,33,1,7.980,0.000,60.995,7.980,0.000,60.995
24,35,33,2,14.576,0.000,90.797,14.576,0.000,90.797
241,35,34,1,49.265,0.000,100.000,49.265,0.000,100.000
243,34,33,1,31.061,0.000,75.000,31.061,0.000,75.000
