model,total,successful,failed,score_at_1,avg_at_5,score_at_5,pass_at_1,pass_at_5,num_problems,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
claude4.1opus,4,4,0,0.00,11.62,57.80,0.0000,1.0000,1,14.526,0.000,57.796,14.526,0.000,57.796
claude4.5sonnet,5,5,0,0.00,0.00,0.00,0.0000,0.0000,1,0.000,0.000,0.000,0.000,0.000,0.000
deepseekreasoner,865,786,79,29.07,26.26,41.85,0.5449,0.6923,156,27.606,0.000,100.000,88.361,0.000,9540.933
gemini2.5pro,865,831,34,24.85,22.25,38.81,0.4471,0.6765,170,22.757,0.000,100.000,917343648366.905,0.000,449577054576240.062
gemini3pro,865,837,28,34.45,35.79,56.86,0.6012,0.7857,168,36.068,0.000,100.000,100.728,0.000,9540.933
gpt5,864,845,19,24.31,22.96,38.37,0.4821,0.6726,168,23.309,0.000,100.000,4342.209,0.000,3627915.267
gpt5.1,860,849,11,21.33,22.42,33.46,0.4059,0.5765,170,22.734,0.000,100.000,8155.964,0.000,3627915.267
gpt5.2,859,751,108,37.21,35.42,51.00,0.6755,0.7815,151,36.576,0.000,100.000,105.334,0.000,9540.933
gpt5_high,493,482,11,24.77,12.65,31.94,0.5096,0.6242,157,21.873,0.000,100.000,44.505,0.000,9436.660
gpt5_low,516,510,6,18.88,11.04,26.88,0.3728,0.4852,169,18.549,0.000,100.000,76.372,0.000,9540.933
gpt5_medium,513,504,9,21.39,12.61,28.65,0.4176,0.5412,170,21.618,0.000,100.000,79.904,0.000,9540.933
grok4fastreasoning,865,821,44,25.76,24.65,39.11,0.5155,0.6770,161,25.280,0.000,100.000,90.805,0.000,9540.933
