problem,total,successful,failed,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
0,53,52,1,18.195,0.000,77.831,18.195,0.000,77.831
1,44,38,6,0.000,0.000,0.000,0.000,0.000,0.000
10,44,43,1,43.884,0.000,100.000,51.115,0.000,126.367
101,44,43,1,0.000,0.000,0.000,0.000,0.000,0.000
104,44,44,0,3.427,0.000,75.550,3.427,0.000,75.550
106,44,42,2,19.894,0.000,99.107,19.894,0.000,99.107
107,44,44,0,33.538,0.000,71.667,33.538,0.000,71.667
108,44,40,4,0.000,0.000,0.000,0.000,0.000,0.000
109,44,44,0,74.556,0.000,100.000,74.556,0.000,100.000
11,43,41,2,43.415,0.000,100.000,43.415,0.000,100.000
110,44,44,0,7.138,0.000,97.216,7.138,0.000,97.216
111,42,42,0,59.688,0.000,100.000,59.784,0.000,101.351
112,44,44,0,70.009,0.087,100.000,75.547,0.087,171.556
113,44,38,6,0.000,0.000,0.000,0.000,0.000,0.000
117,44,43,1,10.685,0.000,85.143,10.685,0.000,85.143
119,44,44,0,17.397,0.000,100.000,17.397,0.000,100.000
120,44,43,1,41.435,0.000,100.000,41.514,0.000,101.830
121,44,43,1,90.627,0.000,99.993,90.627,0.000,99.993
122,44,44,0,5.855,0.000,59.200,5.855,0.000,59.200
123,44,44,0,25.252,0.000,100.000,25.252,0.000,100.000
124,44,41,3,4.665,0.000,80.650,4.665,0.000,80.650
125,44,36,8,0.000,0.000,0.000,0.000,0.000,0.000
127,44,42,2,20.683,0.000,100.000,74.553,0.000,461.425
13,44,42,2,21.034,0.000,99.777,21.034,0.000,99.777
132,44,43,1,12.858,0.000,100.000,13.013,0.000,100.000
133,44,42,2,9.210,0.000,97.077,9.210,0.000,97.077
134,44,44,0,14.163,0.000,98.493,14.403,0.000,104.000
135,44,42,2,0.161,0.000,6.780,0.161,0.000,6.780
137,44,43,1,17.548,0.000,63.030,17.548,0.000,63.030
138,44,35,9,0.000,0.000,0.000,0.000,0.000,0.000
14,44,44,0,21.578,0.000,69.417,21.578,0.000,69.417
140,44,43,1,4.574,0.000,25.000,4.574,0.000,25.000
141,44,43,1,7.347,0.000,64.243,8.302,0.000,84.647
142,44,36,8,0.000,0.000,0.000,0.000,0.000,0.000
143,44,43,1,20.605,0.000,82.000,20.605,0.000,82.000
144,44,44,0,20.864,0.000,78.087,22.805,0.000,152.067
145,44,43,1,2.791,0.000,20.000,2.791,0.000,20.000
147,44,44,0,12.882,0.000,84.687,12.882,0.000,84.687
148,44,43,1,0.582,0.000,8.633,0.582,0.000,8.633
149,44,42,2,9.803,0.000,72.810,9.803,0.000,72.810
15,44,43,1,0.775,0.000,33.333,0.781,0.000,33.567
150,44,36,8,24.125,0.000,67.217,26.456,0.000,94.047
151,44,42,2,0.951,0.000,30.203,0.951,0.000,30.203
152,44,42,2,12.049,0.000,95.100,12.049,0.000,95.100
153,44,44,0,3.765,0.000,62.167,3.765,0.000,62.167
154,44,40,4,0.175,0.000,6.990,0.175,0.000,6.990
155,44,44,0,15.088,0.000,72.590,15.088,0.000,72.590
156,44,43,1,0.000,0.000,0.000,0.000,0.000,0.000
157,44,42,2,0.000,0.000,0.000,0.000,0.000,0.000
158,44,43,1,9.228,0.000,82.263,9.228,0.000,82.263
159,44,41,3,0.504,0.000,8.230,0.504,0.000,8.230
16,44,43,1,4.789,0.000,50.610,4.789,0.000,50.610
160,44,44,0,30.729,0.000,51.620,210.611,0.000,314.037
161,44,43,1,8.632,0.000,80.270,8.632,0.000,80.270
162,44,44,0,8.473,0.000,33.280,8.473,0.000,33.280
163,44,44,0,0.000,0.000,0.000,0.000,0.000,0.000
164,44,44,0,0.000,0.000,0.000,0.000,0.000,0.000
165,44,38,6,32.257,0.000,75.153,32.257,0.000,75.153
166,44,44,0,3.343,0.000,59.523,3.343,0.000,59.523
167,44,43,1,4.967,0.000,29.860,4.967,0.000,29.860
168,44,43,1,7.747,0.000,87.200,7.747,0.000,87.200
169,44,44,0,0.329,0.000,10.653,0.329,0.000,10.653
17,44,44,0,79.049,0.000,95.215,79.049,0.000,95.215
170,44,44,0,19.924,0.000,98.360,19.924,0.000,98.360
171,44,43,1,0.000,0.000,0.000,0.000,0.000,0.000
174,44,43,1,77.279,0.000,96.074,77.279,0.000,96.074
175,44,44,0,81.142,0.000,99.339,81.142,0.000,99.339
176,44,43,1,97.416,33.333,100.000,97.416,33.333,100.000
177,44,42,2,85.601,0.000,100.000,85.601,0.000,100.000
178,44,43,1,85.122,31.111,96.389,85.122,31.111,96.389
179,44,29,15,82.873,33.333,100.000,82.873,33.333,100.000
180,44,43,1,66.122,0.000,100.000,66.122,0.000,100.000
181,44,44,0,48.518,0.000,100.000,48.518,0.000,100.000
182,44,44,0,84.112,0.000,100.000,84.112,0.000,100.000
183,44,44,0,74.551,66.850,100.000,74.551,66.850,100.000
184,44,44,0,71.933,0.000,100.000,71.933,0.000,100.000
185,44,44,0,78.550,0.000,100.000,78.550,0.000,100.000
186,44,44,0,75.772,29.823,100.000,76.096,29.823,102.380
187,44,44,0,77.563,67.030,100.000,77.833,67.030,102.380
188,44,43,1,23.877,0.000,100.000,23.877,0.000,100.000
189,44,43,1,22.508,0.000,86.913,22.508,0.000,86.913
192,44,43,1,85.093,0.000,99.753,85.093,0.000,99.753
193,44,44,0,86.639,0.000,99.877,86.639,0.000,99.877
2,44,43,1,0.000,0.000,0.000,0.000,0.000,0.000
203,44,42,2,25.617,0.000,96.513,25.617,0.000,96.513
205,44,38,6,0.000,0.000,0.000,0.000,0.000,0.000
207,44,43,1,0.013,0.000,0.573,0.013,0.000,0.573
209,44,42,2,0.000,0.000,0.000,0.000,0.000,0.000
210,44,42,2,25.501,0.000,93.477,25.501,0.000,93.477
211,44,43,1,28.118,0.000,68.412,28.118,0.000,68.412
212,43,33,10,0.000,0.000,0.000,0.000,0.000,0.000
213,43,41,2,0.000,0.000,0.000,0.000,0.000,0.000
214,44,44,0,26.000,0.000,65.060,26.000,0.000,65.060
217,44,40,4,10.300,0.000,39.990,12.383,0.000,41.667
22,41,32,9,0.000,0.000,0.000,0.000,0.000,0.000
220,41,36,5,23.958,0.000,100.000,23.958,0.000,100.000
222,44,44,0,20.432,0.000,100.000,22.463,0.000,140.660
225,43,42,1,0.000,0.000,0.000,0.000,0.000,0.000
226,35,25,10,74.810,40.183,100.000,74.810,40.183,100.000
227,44,44,0,1.348,0.000,2.457,1.348,0.000,2.457
228,44,44,0,17.424,0.000,100.000,17.424,0.000,100.000
229,44,43,1,0.641,0.000,0.997,0.641,0.000,0.997
23,42,33,9,78.788,0.000,100.000,78.788,0.000,100.000
231,44,43,1,0.000,0.000,0.000,0.000,0.000,0.000
233,44,41,3,8.697,0.000,24.654,8.697,0.000,24.654
239,44,42,2,5.910,0.000,51.315,5.910,0.000,51.315
24,43,41,2,13.285,0.000,90.797,13.285,0.000,90.797
241,44,42,2,56.408,0.000,87.620,56.408,0.000,87.620
243,44,43,1,22.755,0.000,75.000,22.755,0.000,75.000
245,44,43,1,25.736,0.000,88.983,25.736,0.000,88.983
247,42,38,4,2.509,0.000,25.000,2.509,0.000,25.000
248,44,44,0,1.339,0.000,58.913,1.339,0.000,58.913
249,38,36,2,52.582,0.000,100.000,55.044,0.000,108.878
25,44,42,2,45.877,0.000,100.000,57.561,0.000,109.180
252,44,43,1,47.611,0.000,100.000,47.777,0.000,107.140
253,44,44,0,4.207,0.000,100.000,4.778,0.000,125.117
254,42,42,0,12.802,0.000,56.283,12.802,0.000,56.283
255,43,41,2,28.403,0.000,45.560,28.403,0.000,45.560
256,42,40,2,24.699,0.000,44.759,24.699,0.000,44.759
257,44,44,0,71.987,0.000,100.000,150.438,0.000,283.097
258,43,43,0,42.882,0.000,74.510,3727.712,0.000,65007.705
26,44,43,1,7.714,0.000,97.851,7.714,0.000,97.851
27,44,43,1,42.287,0.000,56.933,42.287,0.000,56.933
28,44,44,0,42.484,0.000,97.467,42.551,0.000,100.400
3,44,39,5,10.435,0.000,66.667,10.435,0.000,66.667
30,44,43,1,28.235,0.000,47.667,32.119,0.000,53.233
33,44,44,0,68.466,0.000,100.000,68.480,0.000,100.210
35,44,44,0,24.141,0.000,86.317,24.141,0.000,86.317
36,44,43,1,21.705,0.000,100.000,53.708,0.000,393.113
4,44,43,1,12.173,0.000,84.750,12.173,0.000,84.750
40,44,44,0,8.735,0.000,56.667,8.735,0.000,56.667
41,44,43,1,25.072,1.477,95.287,26.289,1.477,95.287
42,44,44,0,0.932,0.000,1.000,0.932,0.000,1.000
43,44,44,0,0.119,0.000,1.950,0.119,0.000,1.950
44,44,44,0,11.576,0.000,39.373,25.051,0.000,82.930
45,44,42,2,43.587,0.000,63.189,43.587,0.000,63.189
46,44,42,2,2.408,0.000,9.517,2.408,0.000,9.517
47,44,27,17,58.535,0.000,96.492,68.699,0.000,114.661
48,44,44,0,5.169,0.000,13.194,5.169,0.000,13.194
5,44,43,1,51.705,0.000,100.000,51.705,0.000,100.000
50,44,44,0,67.938,0.000,78.567,67.938,0.000,78.567
52,44,43,1,13.352,0.000,89.037,15.014,0.000,104.763
53,44,38,6,0.729,0.000,27.700,0.729,0.000,27.700
54,44,39,5,15.795,0.000,100.000,16.233,0.000,117.070
57,44,44,0,36.842,0.000,98.800,36.842,0.000,98.800
58,43,42,1,30.828,0.000,73.223,30.828,0.000,73.223
59,44,41,3,25.891,0.000,88.820,26.785,0.000,98.368
6,43,29,14,18.037,0.000,94.467,18.834,0.000,94.467
60,44,42,2,37.398,0.000,95.085,37.398,0.000,95.085
61,42,39,3,0.000,0.000,0.000,0.000,0.000,0.000
62,43,40,3,13.332,0.000,99.997,13.332,0.000,99.997
63,44,39,5,8.068,0.000,65.277,8.068,0.000,65.277
64,44,43,1,0.000,0.000,0.000,0.000,0.000,0.000
68,44,40,4,25.033,0.000,47.250,25.033,0.000,47.250
69,44,44,0,5.338,0.000,50.733,5.338,0.000,50.733
7,44,43,1,48.000,0.000,90.000,48.000,0.000,90.000
70,44,44,0,58.885,0.000,100.000,183.677,0.000,298.410
72,44,43,1,73.712,0.000,100.000,73.712,0.000,100.000
73,44,44,0,76.515,0.000,100.000,76.515,0.000,100.000
75,44,42,2,38.561,0.000,76.940,38.561,0.000,76.940
77,44,44,0,48.777,0.000,66.667,50.432,0.000,74.567
79,44,41,3,4.127,0.000,92.300,4.127,0.000,92.300
8,43,41,2,40.216,33.267,94.077,40.216,33.267,94.077
80,44,43,1,78.005,0.000,99.200,78.005,0.000,99.200
81,44,37,7,0.000,0.000,0.000,0.000,0.000,0.000
82,44,37,7,12.153,0.000,66.667,44.502,0.000,669.217
83,44,44,0,7.250,0.000,100.000,7.250,0.000,100.000
85,44,44,0,32.405,0.000,96.500,32.405,0.000,96.500
86,44,40,4,7.029,0.000,100.000,8.547,0.000,143.587
87,41,40,1,15.414,0.000,100.000,15.414,0.000,100.000
89,44,43,1,9.905,0.000,89.360,9.905,0.000,89.360
9,44,42,2,46.280,33.333,100.000,62.020,47.620,136.360
93,44,38,6,20.681,0.000,100.000,24.325,0.000,122.603
