model,total,successful,failed,avg_score,min_score,max_score
cant,237,237,0,51.3672,0.0,100.0
cloudcast/deepseekreasoner,1,0,1,,,
cloudcast/deepseekreasoner.py,1,1,0,0.0791,0.07910775496003628,0.07910775496003628
cloudcast/gemini2.5pro,1,1,0,0.0757,0.0756518302596707,0.0756518302596707
cloudcast/gemini3pro,3,3,0,0.1150,0.08067503109046273,0.13593447466781955
cloudcast/gemini3pro.py,1,1,0,0.0932,0.09323188040245708,0.09323188040245708
cloudcast/gpt5,3,3,0,0.0876,0.08628261184945042,0.08937549116859765
cloudcast/gpt5.1,4,4,0,0.0906,0.07656539824916127,0.12509083111064964
cloudcast/gpt5.1.py,1,1,0,0.0803,0.08031914974790633,0.08031914974790633
cloudcast/gpt5.2,3,3,0,8.2836,0.09294244439032115,24.662237623253024
cloudcast/gpt5.py,1,1,0,0.0902,0.09018221162549173,0.09018221162549173
cross,19,19,0,48.8551,0.0,100.0
decoding,19,19,0,68.9124,7.634906893459958,93.52539600994979
flash,12,12,0,87.8701,0.0,100.0
fused,31,31,0,88.0538,22.268985931085584,100.0
gdpa,11,11,0,70.3109,24.469181145629435,100.0
gemm,86,86,0,37.9002,0.0,100.0
group,27,27,0,61.1636,0.09018221162549173,67.40505445846468
imagenet,53,53,0,49.0586,0.09018221162549173,100.0
llm,36,34,2,34.0486,0.0,78.062746506525
mamba2,14,14,0,87.5875,0.0,100.0
mixed,15,15,0,92.8262,52.07192216931772,100.0
poc,782,761,21,54.0471,0.0,100.0
qknorm/deepseekreasoner,3,3,0,46.5654,19.050649403429972,99.98888963766629
qknorm/gemini3pro,2,2,0,50.9319,49.7919449125945,52.07192216931772
qknorm/gemini3pro.py,1,1,0,92.2745,92.274469,92.274469
qknorm/gpt5,1,0,1,,,
qknorm/gpt5.1,2,2,0,38.3973,3.4806996575417304,73.31384030347421
qknorm/gpt5.1.py,1,1,0,22.1372,22.137194939156657,22.137194939156657
qknorm/gpt5.2,2,2,0,57.5528,15.105523,100.0
qknorm/grok4fastreasoning.py,1,1,0,64.9633,64.96330038475915,64.96330038475915
ragged,11,11,0,76.4089,0.0,100.0
symbolic,64,64,0,52.8152,0.0,100.0
vdb,72,72,0,67.4510,0.0,100.0
vector,56,56,0,43.0988,0.0,100.0
