problem,total,successful,failed,avg_score,min_score,max_score
cant_be_late/high_availability_loose_deadline,1,0,1,,,
cant_be_late/high_availability_tight_deadline,1,0,1,,,
cant_be_late/low_availability_loose_deadline,1,0,1,,,
cant_be_late_multi/high_availability_loose_deadline,1,1,0,-57.0094,-57.00943597916702,-57.00943597916702
cant_be_late_multi/high_availability_tight_deadline,1,1,0,-120.1959,-120.19594085416803,-120.19594085416803
cant_be_late_multi/low_availability_loose_deadline,1,0,1,,,
cloudcast,1,1,0,0.0000,0.0,0.0
cross_entropy,1,0,1,,,
decoding_attn,1,1,0,0.0000,0.0,0.0
flash_attn,1,0,1,,,
fused_linear_ce,1,0,1,,,
gdpa_attention,1,1,0,95.1214,95.12139295188508,95.12139295188508
gemm_optimization/annoying,1,1,0,0.0000,0.0,0.0
gemm_optimization/k_skewed,1,1,0,0.0000,0.0,0.0
gemm_optimization/near_tile,1,1,0,0.0000,0.0,0.0
gemm_optimization/rectangles,1,0,1,,,
gemm_optimization/squares,1,1,0,12.3373,12.337298797785712,12.337298797785712
gemm_optimization/transformerish,1,1,0,23.5932,23.593166922128262,23.593166922128262
group_gemm,1,1,0,0.0000,0.0,0.0
imagenet_pareto/1m,1,1,0,37.0117,37.011718749999986,37.011718749999986
imagenet_pareto/200k,1,1,0,46.1496,46.14955357142857,46.14955357142857
imagenet_pareto/2_5m,1,1,0,51.8229,51.82291666666667,51.82291666666667
imagenet_pareto/500k,1,1,0,58.8449,58.84486607142857,58.84486607142857
imagenet_pareto/5m,1,1,0,47.9167,47.916666666666664,47.916666666666664
mamba2_scan,1,1,0,0.0000,0.0,0.0
mixed_gemm,1,0,1,,,
poc_generation/heap_buffer_overflow/arvo_21000,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/arvo_47101,1,1,0,85.3810,85.38101914383466,85.38101914383466
poc_generation/heap_buffer_overflow/arvo_47500,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_372515086,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_376100377,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_382816119,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_383170474,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_383200048,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_385170375,1,1,0,,,
poc_generation/heap_buffer_overflow/oss_fuzz_388571282,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_42535447,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_42535696,1,1,0,0.0000,0.0,0.0
poc_generation/heap_buffer_overflow/oss_fuzz_42536108,1,1,0,0.0000,0.0,0.0
