Evaluation Summary - 2026-01-01T07:37:47.212490
==================================================
Total pairs: 1577
Completed: 1552
Successful: 1552
Errors: 3

Results:
--------------------------------------------------
cant_be_late/high_availability_loose_deadline_large_overhead/deepseekreasoner_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 64.24457443446188
cant_be_late/high_availability_loose_deadline_large_overhead/gemini2.5pro_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 67.10836305097149
cant_be_late/high_availability_loose_deadline_large_overhead/gemini3pro_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 100.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 63.97396342709178
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1_2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 100.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 3.4806996575417304
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 73.31384030347421
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.2_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 98.84372960575872
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5_1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 83.5121770497217
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/grok4fastreasoning.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 99.98888963766629
cant_be_late/high_availability_loose_deadline_small_overhead/deepseekreasoner.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 19.050649403429972
cant_be_late/high_availability_loose_deadline_small_overhead/gemini2.5pro_1.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 100.0
cant_be_late/high_availability_loose_deadline_small_overhead/gemini2.5pro_3.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 95.04798320741983
cant_be_late/high_availability_loose_deadline_small_overhead/gemini3pro_2.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 23.918126318847463
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5.1_1.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 80.0
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5.1_2.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 48.62805515199498
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5.1_3.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 22.268985931085584
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5.1_4.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 34.31755953290834
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5.2_1.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 100.0
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5_1.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 48.51906648135618
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5_2.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 100.0
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5_3.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 0.0
cant_be_late/high_availability_loose_deadline_small_overhead/gpt5_4.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 77.82880094400282
cant_be_late/high_availability_loose_deadline_small_overhead/grok4fastreasoning_4.py -> cant_be_late/high_availability_loose_deadline_small_overhead: 73.31384030347421
cant_be_late/high_availability_tight_deadline_large_overhead/deepseekreasoner_4.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 19.050649403429972
cant_be_late/high_availability_tight_deadline_large_overhead/gemini2.5pro_4.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 54.935293613300445
cant_be_late/high_availability_tight_deadline_large_overhead/gpt5.1.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 14.698289860160182
cant_be_late/high_availability_tight_deadline_large_overhead/gpt5.1_1.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 0.08067904492766234
cant_be_late/high_availability_tight_deadline_large_overhead/gpt5.1_2.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 0.07656539824916127
cant_be_late/high_availability_tight_deadline_large_overhead/gpt5.2_1.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 52.07192216931772
cant_be_late/high_availability_tight_deadline_large_overhead/gpt5.2_4.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 100.0
cant_be_late/high_availability_tight_deadline_large_overhead/gpt5_3.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 62.03324563865485
cant_be_late/high_availability_tight_deadline_large_overhead/gpt5_4.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 50.03549991605367
cant_be_late/high_availability_tight_deadline_large_overhead/grok4fastreasoning.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 55.38170810932813
cant_be_late/high_availability_tight_deadline_large_overhead/grok4fastreasoning_3.py -> cant_be_late/high_availability_tight_deadline_large_overhead: 68.47460471174378
cant_be_late/high_availability_tight_deadline_small_overhead/gemini2.5pro_1.py -> cant_be_late/high_availability_tight_deadline_small_overhead: 14.698289860160182
cant_be_late/high_availability_tight_deadline_small_overhead/gemini2.5pro_2.py -> cant_be_late/high_availability_tight_deadline_small_overhead: 50.106820267446054
cant_be_late/high_availability_tight_deadline_small_overhead/gemini3pro_2.py -> cant_be_late/high_availability_tight_deadline_small_overhead: 0.13593447466781955
cant_be_late/high_availability_tight_deadline_small_overhead/gpt5.1.py -> cant_be_late/high_availability_tight_deadline_small_overhead: 66.2317560633321
cant_be_late/high_availability_tight_deadline_small_overhead/gpt5.1_1.py -> cant_be_late/high_availability_tight_deadline_small_overhead: 81.12451731328551
