problem,total,successful,failed,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
cant_be_late/high_availability_loose_deadline_large_overhead,35,35,0,8.603,0.000,100.000,,,
cant_be_late/high_availability_loose_deadline_small_overhead,35,35,0,12.343,0.000,100.000,,,
cant_be_late/high_availability_tight_deadline_large_overhead,35,35,0,2.953,0.000,48.628,,,
cant_be_late/high_availability_tight_deadline_small_overhead,35,35,0,10.251,0.000,66.290,,,
cant_be_late/low_availability_loose_deadline_large_overhead,35,35,0,12.363,0.000,67.493,,,
cant_be_late/low_availability_loose_deadline_small_overhead,35,35,0,5.657,0.000,100.000,,,
cant_be_late/low_availability_tight_deadline_large_overhead,35,35,0,12.603,0.000,100.000,,,
cant_be_late/low_availability_tight_deadline_small_overhead,35,35,0,10.363,0.000,100.000,,,
cant_be_late/mixed_availability_loose_deadline_large_overhead,35,35,0,10.653,0.000,100.000,,,
cant_be_late/mixed_availability_loose_deadline_small_overhead,35,35,0,13.346,0.000,78.962,,,
cant_be_late/mixed_availability_tight_deadline_large_overhead,35,35,0,13.720,0.000,98.600,,,
cant_be_late/mixed_availability_tight_deadline_small_overhead,35,35,0,11.059,0.000,100.000,,,
cant_be_late_multi/high_availability_loose_deadline_large_overhead,35,34,1,-352941145.922,-1000000000.000,80.000,-352941145.922,-1000000000.000,80.000
cant_be_late_multi/high_availability_loose_deadline_small_overhead,35,35,0,-285714241.600,-1000000000.000,85.970,-285714241.600,-1000000000.000,85.970
cant_be_late_multi/high_availability_tight_deadline_large_overhead,35,34,1,-352941148.104,-1000000000.000,76.010,-352941148.104,-1000000000.000,76.010
cant_be_late_multi/high_availability_tight_deadline_small_overhead,35,35,0,-228571386.670,-1000000000.000,80.450,-228571386.670,-1000000000.000,80.450
cant_be_late_multi/low_availability_loose_deadline_large_overhead,35,34,1,-352941127.879,-1000000000.000,99.720,-352941127.879,-1000000000.000,99.720
cant_be_late_multi/low_availability_loose_deadline_small_overhead,35,35,0,-342857083.085,-1000000000.000,100.000,-342857083.085,-1000000000.000,100.000
cant_be_late_multi/low_availability_tight_deadline_large_overhead,35,34,1,-352941121.598,-1000000000.000,99.690,-352941121.598,-1000000000.000,99.690
cant_be_late_multi/low_availability_tight_deadline_small_overhead,35,34,1,-264705814.781,-1000000000.000,100.000,-264705814.781,-1000000000.000,100.000
cloudcast,35,35,0,0.048,0.000,0.128,,,
cross_entropy,35,35,0,28.415,0.000,99.956,28.415,0.000,99.956
decoding_attn,35,35,0,34.497,0.000,86.455,34.497,0.000,86.455
flash_attn,35,0,35,,,,,,
fused_linear_ce,35,35,0,38.555,0.000,98.719,38.555,0.000,98.719
fused_linear_jsd,35,15,20,38.137,0.000,99.519,38.137,0.000,99.519
gdpa_attention,35,0,35,,,,,,
gemm_optimization/annoying,35,35,0,10.996,0.000,100.000,,,
gemm_optimization/k_skewed,35,35,0,24.946,0.000,74.164,,,
gemm_optimization/near_tile,35,35,0,36.035,0.000,100.000,,,
gemm_optimization/rectangles,35,35,0,9.908,0.000,100.000,,,
gemm_optimization/squares,35,35,0,6.824,0.000,24.003,,,
gemm_optimization/transformerish,35,35,0,6.767,0.000,48.632,,,
grammar_fuzzing/fuzzer/sql,35,35,0,12.420,0.000,43.810,12.420,0.000,43.810
grammar_fuzzing/seed/sql,35,34,1,29.312,0.000,63.139,29.312,0.000,63.139
group_gemm,35,35,0,51.127,0.000,67.696,51.127,0.000,67.696
imagenet_pareto/1m,35,35,0,25.460,0.000,90.234,25.460,0.000,90.234
imagenet_pareto/200k,35,35,0,29.212,0.000,97.489,29.212,0.000,97.489
imagenet_pareto/2_5m,35,33,2,14.978,0.000,83.724,14.978,0.000,83.724
imagenet_pareto/500k,35,35,0,25.464,0.000,76.283,25.464,0.000,76.283
imagenet_pareto/5m,35,33,2,15.267,0.000,91.048,15.267,0.000,91.048
llm_router,35,15,20,0.000,0.000,0.000,0.000,0.000,0.000
