Evaluation Summary - 2026-01-16T22:53:42.886263
==================================================
Total pairs: 4340
Completed: 4352
Successful: 4157
Errors: 73

Results:
--------------------------------------------------
cant_be_late/high_availability_loose_deadline_large_overhead/deepseekreasoner.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/deepseekreasoner_1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 100.0
cant_be_late/high_availability_loose_deadline_large_overhead/deepseekreasoner_2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/deepseekreasoner_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/deepseekreasoner_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini2.5pro.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini2.5pro_1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 1.9073966554398711
cant_be_late/high_availability_loose_deadline_large_overhead/gemini2.5pro_2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini2.5pro_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini2.5pro_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini3pro.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 17.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini3pro_1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini3pro_2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 24.00298014905051
cant_be_late/high_availability_loose_deadline_large_overhead/gemini3pro_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gemini3pro_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1_1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1_2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 17.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.1_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.2_1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.2_2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.2_3.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 10.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.2_4.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.08628261184945042
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5_1.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 17.0
cant_be_late/high_availability_loose_deadline_large_overhead/gpt5_2.py -> cant_be_late/high_availability_loose_deadline_large_overhead: 0.0
